"action","score","platform","title","rent","layout","area_m2","source_area","community","address","tags","residential_priority","distance_km_to_work","longitude","latitude","geocode_precision","url","evidence"
"contact","125","anjuke","凌空路2号线地铁口附近，原始厨房双朝南卧室，采光好，空间大。","2780","2室1厅","58","唐镇","川虹新苑","妙川路1000弄","朝南 有电梯","normal","10.34","121.714951","31.179926","道路","https://sh.zu.anjuke.com/fangyuan/4641874826157067","凌空路2号线地铁口附近，原始厨房双朝南卧室，采光好，空间大。 安选 2室1厅|58平米|低层(共15层) 川虹新苑   浦东-川沙 妙川路1000弄 整租 朝南 有电梯  武恒 2780 元/月"
"contact","125","anjuke","川杨新苑(二期) 2室1厅1卫","3000","2室1厅","70","张江","川杨新苑(二期)","顺和路126弄,顺和路236弄,顺和路60弄","朝南 13号线","normal","2.3","121.629344","31.186711","道路","https://sh.zu.anjuke.com/fangyuan/3830005373100040"," 川杨新苑(二期) 2室1厅1卫 安选 2室1厅|70平米|高层(共6层) 川杨新苑(二期)   浦东-张江 -顺和路126弄,顺和路236弄,顺和路60弄 整租 朝南 13号线 3000 元/月"
"contact","125","anjuke","北中路150号楼 精装修 房屋维修 电梯房 采光好","3000","2室1厅","88","北蔡","北中路150号楼","北中路150号","朝南 有电梯 7/13/18号线","normal","5.01","121.553621","31.182629","门址","https://sh.zu.anjuke.com/fangyuan/4498963603022850"," 北中路150号楼 精装修 房屋维修 电梯房 采光好 安选 2室1厅|88平米|中层(共12层) 北中路150号楼   浦东-北蔡 -北中路150号 整租 朝南 有电梯 7/13/18号线  易鹏成 3000 元/月"
"contact","118","anjuke","近繁荣地铁口 电梯两房 南北通透 随时看房","3000","2室1厅","90","周浦","逸致璟庭","横桥路320弄","朝南 有电梯 18号线","normal","8.86","121.571171","31.106871","门牌号","https://sh.zu.anjuke.com/fangyuan/4636142532403201"," 近繁荣地铁口 电梯两房 南北通透 随时看房 安选 2室1厅|90平米|中层(共18层) 7日内实拍验真 逸致璟庭   浦东-周浦 -横桥路320弄 整租 朝南 有电梯 18号线  胡封毅 3000 元/月"
"contact","115","anjuke","可停车 地铁口 两房两厅 可分租 双南的两房 视野无遮挡","3200","2室1厅","70","北蔡","尚玖璟庭","莲荣路66弄","朝南 有电梯 13/16/18号线","normal","3.73","121.567823","31.17417","道路","https://sh.zu.anjuke.com/fangyuan/4636191152563203","可停车 地铁口 两房两厅 可分租 双南的两房 视野无遮挡 安选 2室1厅|70平米|高层(共17层) 7日内实拍验真 尚玖璟庭   浦东-北蔡 -莲荣路66弄 整租 朝南 有电梯 13/16/18号线  黄添鹏 3200 元/月"
"contact","115","anjuke","11秀沿路地铁口 整租两房出租 一手 近尚德学校 漕河泾","3200","2室1厅","56.8","康桥","汤巷馨村(南区)","秀沿路2501弄","朝南 11号线","normal","4.73","121.601444","31.138429","道路","https://sh.zu.anjuke.com/fangyuan/4588460997993486","11秀沿路地铁口 整租两房出租 一手 近尚德学校 漕河泾 安选 2室1厅|56.8平米|共5层 汤巷馨村(南区)   浦东-康桥 -秀沿路2501弄 整租 朝南 11号线  徐志强 3200 元/月"
"contact","115","anjuke","川沙地铁零距离城南路497弄小区，精装修南北通透，价格便宜","3380","2室1厅","75","唐镇","城南路497弄小区","城南路497弄","朝南 2号线","normal","8.69","121.696932","31.18988","道路","https://sh.zu.anjuke.com/fangyuan/4643771125392390","川沙地铁零距离城南路497弄小区，精装修南北通透，价格便宜 安选 2室1厅|75平米|高层(共6层) 城南路497弄小区   浦东-川沙 城南路497弄 整租 朝南 2号线  武宜胜 3380 元/月"
"contact","113","anjuke","近地铁站川沙公园附近 精装修两房一厅 民用水电煤 看房随时","3000","2室1厅","48.3","川沙","河滨小区","城南路356弄1-13号,城南路362弄1-6号","朝南 2号线","normal","9.27","121.702679","31.192508","门址","https://sh.zu.anjuke.com/fangyuan/4507874726880263"," 近地铁站川沙公园附近 精装修两房一厅 民用水电煤 看房随时 安选 2室1厅|48.3平米|共5层 河滨小区   浦东-川沙 -城南路356弄1-13号,城南路362弄1-6号 整租 朝南 2号线  胡妞妞 3000 元/月"
"contact","110","anjuke","2号线广兰路地铁站，直达世纪大道 陆家嘴，周边生活设施齐全","2500","1室1厅","56.6","张江","兰沁苑","紫薇路750弄","朝南 2号线","normal","3.32","121.623853","31.206538","道路","https://sh.zu.anjuke.com/fangyuan/4604264147917826","2号线广兰路地铁站，直达世纪大道 陆家嘴，周边生活设施齐全 安选 1室1厅|56.6平米|低层(共6层) 兰沁苑   浦东-张江 -紫薇路750弄 整租 朝南 2号线  周继红 2500 元/月"
"contact","110","anjuke","实拍！11号秀沿路地铁站200米，近漕河泾，智元，吉祥航空","2500","1室1厅","56.8","康桥","汤巷馨村(南区)","秀沿路2501弄","朝南 11号线","normal","4.73","121.601444","31.138429","道路","https://sh.zu.anjuke.com/fangyuan/4568259473071105","实拍！11号秀沿路地铁站200米，近漕河泾，智元，吉祥航空 安选 1室1厅|56.8平米|中层(共6层) 汤巷馨村(南区)   浦东-康桥 -秀沿路2501弄 整租 朝南 11号线  宁翠 2500 元/月"
"contact","110","anjuke","地铁11号线 紧挨着地铁口 通行方便 有漕河泾张江机器人谷","2500","1室1厅","56.8","康桥","汤巷馨村(南区)","秀沿路2501弄","朝南 有电梯 11号线","normal","4.73","121.601444","31.138429","道路","https://sh.zu.anjuke.com/fangyuan/4538704131107855","地铁11号线 紧挨着地铁口 通行方便 有漕河泾张江机器人谷 安选 1室1厅|56.8平米|低层(共7层) 汤巷馨村(南区)   浦东-康桥 -秀沿路2501弄 整租 朝南 有电梯 11号线  王德博 2500 元/月"
"contact","110","anjuke","国企保障租房！御桥18 00 租期不限 民用水电 首月0元","2500","1室1厅","55","北蔡","沪南路2500号楼","沪南路2500号","朝南 有电梯 11/18号线","normal","5.05","121.564945","31.152202","门址","https://sh.zu.anjuke.com/fangyuan/4585333180439552"," 国企保障租房！御桥18 00 租期不限 民用水电 首月0元 安选 1室1厅|55平米|高层(共6层) 沪南路2500号楼   浦东-北蔡 -沪南路2500号 整租 朝南 有电梯 11/18号线  陈帮庆 2500 元/月"
